source	target	strength	***
T02878	R56532	0.98	***
T02878	R56537	0.98	***
T02878	R56538	0.98	***
T02878	R56572	0.98	***
T02898	R68569	0.98	***
T02898	R08517	0.98	***
T02898	R34175	0.98	***
T02898	R08566	0.98	***
T02905	R08638	0.98	***
T02905	R04278	0.98	***
T02905	R08588	0.98	***
T02905	R08576	0.98	***
T02905	R15488	0.98	***
T02905	R28283	0.98	***
T02905	R15455	0.98	***
T02905	R15489	0.98	***
T02905	R15490	0.98	***
T02905	R08631	0.98	***
T02905	R14795	0.98	***
T02905	R14796	0.98	***
T02905	R14797	0.98	***
T02905	R15773	0.98	***
T02905	R03470	0.98	***
T02905	R18127	0.98	***
T02905	R18128	0.98	***
T02905	R18130	0.98	***
T02905	R02248	0.98	***
T02905	R08604	0.98	***
T02905	R08818	0.98	***
T02905	R08819	0.98	***
T02905	R08649	0.98	***
T02905	R08633	0.98	***
T02905	R08634	0.98	***
T02905	R08589	0.98	***
T02905	R08591	0.98	***
T02905	R08820	0.98	***
T02905	R08821	0.98	***
T02918	R08563	0.98	***
T02918	R08576	0.98	***
T02918	R28268	0.98	***
T02918	R28269	0.98	***
T02918	R66176	0.98	***
T02918	R32369	0.98	***
T02918	R08639	0.98	***
T02918	R36825	0.98	***
T02918	R57143	0.98	***
T02918	R57144	0.98	***
T02918	R31411	0.98	***
T02918	R32961	0.98	***
T02918	R08640	0.98	***
T02918	R08641	0.98	***
T02918	R08584	0.98	***
T02918	R08585	0.98	***
T02918	R27837	0.98	***
T02918	R27839	0.98	***
T02918	R35489	0.98	***
T02918	R66394	0.98	***
T02918	R66395	0.98	***
T02918	R66396	0.98	***
T02918	R66398	0.98	***
T02918	R66399	0.98	***
T02918	R60260	0.98	***
T02918	R35462	0.98	***
T02918	R35465	0.98	***
T02918	R08647	0.98	***
T02918	R08648	0.98	***
T02918	R67694	0.98	***
T02918	R67695	0.98	***
T02918	R67697	0.98	***
T02918	R34775	0.98	***
T02918	R30721	0.98	***
T02918	R63612	0.98	***
T02918	R68211	0.98	***
T02918	R68213	0.98	***
T02936	R34882	0.98	***
T02936	R34885	0.98	***
T02936	R12972	0.98	***
T02936	R04663	0.98	***
T02936	R12332	0.98	***
T02936	R17223	0.98	***
T02936	R18134	0.98	***
T02936	R18135	0.98	***
T02936	R34886	0.98	***
T02936	R66336	0.98	***
T02936	R26328	0.98	***
T02936	R38801	0.98	***
T02936	R38802	0.98	***
T02936	R32135	0.98	***
T02936	R32136	0.98	***
T02938	R09923	0.98	***
T02938	R09924	0.98	***
T02938	R26191	0.98	***
T02938	R26005	0.98	***
T02938	R67619	0.98	***
T02938	R28578	0.98	***
T02938	R62423	0.98	***
T02938	R62428	0.98	***
T02938	R62431	0.98	***
T02938	R69097	0.98	***
T02938	R26007	0.98	***
T02938	R17146	0.98	***
T02938	R17147	0.98	***
T02938	R67166	0.98	***
T02938	R17152	0.98	***
T02938	R17153	0.98	***
T02938	R17154	0.98	***
T02938	R26306	0.98	***
T02938	R26308	0.98	***
T02938	R26309	0.98	***
T02938	R26310	0.98	***
T02938	R39731	0.98	***
T02938	R39732	0.98	***
T02938	R39733	0.98	***
T02938	R39735	0.98	***
T02938	R39736	0.98	***
T02938	R39737	0.98	***
T02938	R39738	0.98	***
T02938	R26231	0.98	***
T02938	R12332	0.98	***
T02938	R26361	0.98	***
T02938	R19455	0.98	***
T02938	R59435	0.98	***
T02938	R62058	0.98	***
T02938	R62059	0.98	***
T02938	R26360	0.98	***
T02938	R62637	0.98	***
T02938	R62639	0.98	***
T02938	R17223	0.98	***
T02938	R18134	0.98	***
T02938	R18135	0.98	***
T02938	R26187	0.98	***
T02938	R63273	0.98	***
T02938	R63908	0.98	***
T02938	R31039	0.98	***
T02938	R38380	0.98	***
T02938	R21500	0.98	***
T02938	R21501	0.98	***
T02938	R21502	0.98	***
T02938	R28540	0.98	***
T02938	R09922	0.98	***
T02938	R40667	0.98	***
T02938	R63872	0.98	***
T02938	R63877	0.98	***
T02938	R59464	0.98	***
T02997	R30955	0.98	***
T02997	R25714	0.98	***
T02997	R25717	0.98	***
T02997	R25613	0.98	***
T03000	R30592	0.98	***
T03218	R08844	0.98	***
T03218	R08845	0.98	***
T03239	R59628	0.98	***
T03239	R59629	0.98	***
T03246	R27824	0.98	***
T03246	R36201	0.98	***
T03246	R14660	0.98	***
T03246	R36654	0.98	***
T03246	R36659	0.98	***
T03246	R59406	0.98	***
T03246	R36328	0.98	***
T03246	R39064	0.98	***
T03246	R58453	0.98	***
T03246	R58518	0.98	***
T03246	R58521	0.98	***
T03246	R58524	0.98	***
T03246	R14712	0.98	***
T03246	R38487	0.98	***
T03246	R38488	0.98	***
T03246	R34486	0.98	***
T03246	R34487	0.98	***
T03246	R34488	0.98	***
T03246	R67034	0.98	***
T03246	R08886	0.98	***
T03246	R36662	0.98	***
T03246	R14709	0.98	***
T03246	R42184	0.98	***
T03246	R42185	0.98	***
T03246	R26536	0.98	***
T03246	R26537	0.98	***
T03246	R23671	0.98	***
T03246	R67073	0.98	***
T03246	R67074	0.98	***
T03246	R17112	0.98	***
T03246	R67069	0.98	***
T03246	R36344	0.98	***
T03246	R04239	0.98	***
T03246	R36256	0.98	***
T03246	R40020	0.98	***
T03246	R40022	0.98	***
T03246	R40023	0.98	***
T03246	R40024	0.98	***
T03246	R40025	0.98	***
T03246	R40027	0.98	***
T03246	R36227	0.98	***
T03246	R36225	0.98	***
T03246	R36236	0.98	***
T03246	R36239	0.98	***
T03246	R41285	0.98	***
T03246	R36168	0.98	***
T03246	R08848	0.98	***
T03246	R36407	0.98	***
T03246	R62837	0.98	***
T03246	R62840	0.98	***
T03246	R14710	0.98	***
T03246	R39321	0.98	***
T03247	R41660	0.98	***
T03248	R32349	0.98	***
T03248	R36201	0.98	***
T03248	R32350	0.98	***
T03248	R28996	0.98	***
T03248	R56216	0.98	***
T03248	R66974	0.98	***
T03248	R66975	0.98	***
T03248	R23671	0.98	***
T03248	R36344	0.98	***
T03248	R66968	0.98	***
T03248	R66969	0.98	***
T03248	R04239	0.98	***
T03248	R40020	0.98	***
T03248	R40022	0.98	***
T03248	R40023	0.98	***
T03248	R40024	0.98	***
T03248	R40025	0.98	***
T03248	R40027	0.98	***
T03283	R08901	0.98	***
T03286	R58491	0.98	***
T03286	R13047	0.98	***
T03286	R63333	0.98	***
T03292	R55938	0.98	***
T03292	R55853	0.98	***
T03292	R55856	0.98	***
T03292	R28646	0.98	***
T03325	R55828	0.98	***
T03326	R62139	0.98	***
T03326	R68466	0.98	***
T03414	R15323	0.98	***
T03414	R31053	0.98	***
T03414	R31042	0.98	***
T03414	R31043	0.98	***
T03419	R66520	0.98	***
T03419	R20301	0.98	***
T03446	R11397	0.98	***
T03446	R11405	0.98	***
T03446	R22699	0.98	***
T03446	R35778	0.98	***
T03446	R09043	0.98	***
T03446	R22563	0.98	***
T03446	R22564	0.98	***
T03446	R22565	0.98	***
T03447	R11397	0.98	***
T03447	R22699	0.98	***
T03447	R35768	0.98	***
T03447	R35770	0.98	***
T03447	R35771	0.98	***
T03447	R35772	0.98	***
T03447	R35773	0.98	***
T03447	R35774	0.98	***
T03447	R35775	0.98	***
T03447	R35776	0.98	***
T03447	R35777	0.98	***
T03447	R35778	0.98	***
T03447	R35779	0.98	***
T03447	R35780	0.98	***
T03447	R35781	0.98	***
T03447	R35782	0.98	***
T03447	R35783	0.98	***
T03447	R35784	0.98	***
T03447	R35785	0.98	***
T03447	R35786	0.98	***
T03447	R35787	0.98	***
T03447	R35788	0.98	***
T03447	R35789	0.98	***
T03447	R09043	0.98	***
T03447	R22569	0.98	***
T03447	R22563	0.98	***
T03447	R22564	0.98	***
T03447	R22565	0.98	***
T03447	R22566	0.98	***
T03447	R22567	0.98	***
T03447	R22568	0.98	***
T03477	R23286	0.98	***
T03723	R28147	0.98	***
T03731	R22744	0.98	***
T03828	R22738	0.98	***
T03828	R41908	0.98	***
T03828	R00114	0.98	***
T03828	R23135	0.98	***
T03828	R28424	0.98	***
T03828	R28425	0.98	***
T03828	R28426	0.98	***
T03828	R28428	0.98	***
T03828	R28429	0.98	***
T03828	R26637	0.98	***
T03828	R26635	0.98	***
T03828	R34331	0.98	***
T03828	R34332	0.98	***
T03828	R34330	0.98	***
T03828	R34329	0.98	***
T03828	R23138	0.98	***
T03828	R13037	0.98	***
T03828	R36556	0.98	***
T03828	R22701	0.98	***
T03828	R32351	0.98	***
T03828	R15850	0.98	***
T03828	R15854	0.98	***
T03828	R20250	0.98	***
T03828	R21453	0.98	***
T03828	R16063	0.98	***
T03828	R26194	0.98	***
T03828	R26195	0.98	***
T03828	R27570	0.98	***
T03828	R01612	0.98	***
T03828	R23136	0.98	***
T03828	R20717	0.98	***
T03828	R36554	0.98	***
T03828	R02657	0.98	***
T03828	R31228	0.98	***
T03828	R33063	0.98	***
T03828	R40033	0.98	***
T03828	R66154	0.98	***
T03828	R32852	0.98	***
T03828	R40021	0.98	***
T03828	R36224	0.98	***
T03828	R36229	0.98	***
T03828	R40011	0.98	***
T03828	R34731	0.98	***
T03828	R34732	0.98	***
T03828	R55881	0.98	***
T03828	R55891	0.98	***
T03828	R64089	0.98	***
T03828	R64091	0.98	***
T03828	R64093	0.98	***
T03828	R15917	0.98	***
T03828	R19630	0.98	***
T03828	R31213	0.98	***
T03828	R36014	0.98	***
T03828	R32756	0.98	***
T03828	R32757	0.98	***
T03828	R35002	0.98	***
T03828	R15905	0.98	***
T03828	R32755	0.98	***
T03828	R15898	0.98	***
T03828	R15907	0.98	***
T03828	R15908	0.98	***
T03828	R19198	0.98	***
T03828	R32875	0.98	***
T03828	R15916	0.98	***
T03828	R40036	0.98	***
T03828	R13034	0.98	***
T03828	R13059	0.98	***
T03828	R23146	0.98	***
T03828	R08885	0.98	***
T03828	R31041	0.98	***
T03828	R15921	0.98	***
T03828	R62829	0.98	***
T03828	R62830	0.98	***
T03828	R15922	0.98	***
T03828	R23481	0.98	***
T03828	R31438	0.98	***
T03828	R40035	0.98	***
T03828	R20937	0.98	***
T03828	R20940	0.98	***
T03828	R62684	0.98	***
T03828	R40009	0.98	***
T03828	R31645	0.98	***
T03828	R63133	0.98	***
T03828	R63134	0.98	***
T03828	R63135	0.98	***
T03828	R23140	0.98	***
T03828	R23142	0.98	***
T03828	R23143	0.98	***
T03828	R40008	0.98	***
T03828	R36555	0.98	***
T03828	R28982	0.98	***
T03828	R63098	0.98	***
T03828	R39190	0.98	***
T03828	R23144	0.98	***
T03828	R23145	0.98	***
T03828	R63807	0.98	***
T03828	R30909	0.98	***
T03828	R40030	0.98	***
T03828	R22735	0.98	***
T03828	R23521	0.98	***
T03828	R32001	0.98	***
T03828	R62264	0.98	***
T03828	R62811	0.98	***
T03828	R62812	0.98	***
T03828	R62826	0.98	***
T03828	R62827	0.98	***
T03828	R36162	0.98	***
T03828	R19255	0.98	***
T03828	R28979	0.98	***
T03828	R40010	0.98	***
T03828	R40056	0.98	***
T03828	R36226	0.98	***
T03828	R28981	0.98	***
T03828	R27924	0.98	***
T03828	R28435	0.98	***
T03828	R28437	0.98	***
T03828	R25967	0.98	***
T03828	R20585	0.98	***
T03828	R56408	0.98	***
T03828	R28222	0.98	***
T03828	R62990	0.98	***
T03828	R62991	0.98	***
T03828	R25936	0.98	***
T03828	R56419	0.98	***
T03828	R57890	0.98	***
T03828	R57898	0.98	***
T03828	R57902	0.98	***
T03828	R03034	0.98	***
T03828	R56753	0.98	***
T03828	R28432	0.98	***
T03828	R28433	0.98	***
T03828	R28434	0.98	***
T03828	R13070	0.98	***
T03828	R03881	0.98	***
T03828	R36557	0.98	***
T03828	R13035	0.98	***
T03828	R31207	0.98	***
T03828	R28985	0.98	***
T03828	R26750	0.98	***
T03828	R28984	0.98	***
T03885	R31709	0.98	***
T03885	R35074	0.98	***
T03885	R36128	0.98	***
T03885	R10099	0.98	***
T03928	R57987	0.98	***
T03928	R57988	0.98	***
T03928	R57990	0.98	***
T03928	R57994	0.98	***
T03928	R57995	0.98	***
T03928	R57996	0.98	***
T03928	R57997	0.98	***
T03959	R09523	0.98	***
T03959	R15705	0.98	***
T03959	R23236	0.98	***
T03959	R15706	0.98	***
T03959	R16166	0.98	***
T03959	R16167	0.98	***
T03961	R32372	0.98	***
T03961	R15708	0.98	***
T03961	R21173	0.98	***
T03961	R21175	0.98	***
T03961	R21176	0.98	***
T03961	R23236	0.98	***
T03986	R31711	0.98	***
T03986	R35076	0.98	***
T03986	R36127	0.98	***
T03991	R19707	0.98	***
T03991	R62932	0.98	***
T03991	R62935	0.98	***
T03991	R62937	0.98	***
T03991	R21276	0.98	***
T03991	R62929	0.98	***
T03991	R62930	0.98	***
T04003	R09578	0.98	***
T04074	R18756	0.98	***
T04074	R18757	0.98	***
T04074	R18758	0.98	***
T04074	R18759	0.98	***
T04074	R18760	0.98	***
T04074	R18761	0.98	***
T04074	R18762	0.98	***
T04074	R18763	0.98	***
T04074	R18764	0.98	***
T04074	R18765	0.98	***
T04074	R18766	0.98	***
T04074	R18767	0.98	***
T04074	R18768	0.98	***
T04074	R18769	0.98	***
T04074	R18770	0.98	***
T04074	R18771	0.98	***
T04074	R18772	0.98	***
T04074	R18773	0.98	***
T04074	R18774	0.98	***
T04074	R18775	0.98	***
T04074	R18776	0.98	***
T04074	R18777	0.98	***
T04074	R18778	0.98	***
T04074	R18779	0.98	***
T04074	R18780	0.98	***
T04074	R18781	0.98	***
T04074	R18782	0.98	***
T04074	R18783	0.98	***
T04074	R18784	0.98	***
T04074	R18785	0.98	***
T04074	R18786	0.98	***
T04074	R18787	0.98	***
T04074	R18788	0.98	***
T04074	R18789	0.98	***
T04074	R18790	0.98	***
T04074	R18791	0.98	***
T04074	R18792	0.98	***
T04074	R18793	0.98	***
T04074	R18794	0.98	***
T04074	R18795	0.98	***
T04074	R18796	0.98	***
T04074	R18797	0.98	***
T04074	R18798	0.98	***
T04074	R18799	0.98	***
T04074	R18801	0.98	***
T04074	R63927	0.98	***
T04074	R63928	0.98	***
T04074	R18755	0.98	***
T04074	R69962	0.98	***
T04074	R18677	0.98	***
T04074	R18752	0.98	***
T04074	R18753	0.98	***
T04074	R18754	0.98	***
T04076	R60705	0.98	***
T04096	R09884	0.98	***
T04096	R10004	0.98	***
T04096	R10092	0.98	***
T04096	R09955	0.98	***
T04096	R09952	0.98	***
T04096	R09881	0.98	***
T04096	R09937	0.98	***
T04096	R29688	0.98	***
T04096	R14158	0.98	***
T04096	R37750	0.98	***
T04096	R09967	0.98	***
T04096	R10078	0.98	***
T04096	R10079	0.98	***
T04096	R26661	0.98	***
T04096	R10061	0.98	***
T04096	R10066	0.98	***
T04096	R36891	0.98	***
T04096	R13040	0.98	***
T04096	R13041	0.98	***
T04096	R10069	0.98	***
T04106	R31240	0.98	***
T04106	R31243	0.98	***
T04106	R56354	0.98	***
T04106	R56347	0.98	***
T04106	R56348	0.98	***
T04106	R62325	0.98	***
T04106	R62052	0.98	***
T04106	R62055	0.98	***
T04106	R62056	0.98	***
T04110	R31240	0.98	***
T04110	R31243	0.98	***
T04115	R09633	0.98	***
T04116	R09633	0.98	***
T04116	R29212	0.98	***
T04117	R09633	0.98	***
T04118	R09633	0.98	***
T04118	R29212	0.98	***
T04122	R08497	0.98	***
T04122	R69707	0.98	***
T04122	R69755	0.98	***
T04122	R20301	0.98	***
T04123	R14719	0.98	***
T04123	R62815	0.98	***
T04123	R40137	0.98	***
T04124	R15380	0.98	***
T04124	R14734	0.98	***
T04124	R14733	0.98	***
T04128	R15380	0.98	***
T04146	R09720	0.98	***
T04146	R09721	0.98	***
T04146	R09714	0.98	***
T04146	R01847	0.98	***
T04146	R09722	0.98	***
T04147	R09714	0.98	***
T04167	R63497	0.98	***
T04167	R63434	0.98	***
T04167	R63457	0.98	***
T04167	R69779	0.98	***
T04167	R42073	0.98	***
T04167	R56150	0.98	***
T04167	R56151	0.98	***
T04169	R09747	0.98	***
T04169	R09748	0.98	***
T04169	R09749	0.98	***
T04169	R09750	0.98	***
T04169	R09751	0.98	***
T04169	R09752	0.98	***
T04169	R09753	0.98	***
T04169	R09754	0.98	***
T04169	R09755	0.98	***
T04169	R09756	0.98	***
T04169	R09757	0.98	***
T04169	R09758	0.98	***
T04169	R09759	0.98	***
T04169	R09760	0.98	***
T04169	R09761	0.98	***
T04169	R09762	0.98	***
T04169	R09763	0.98	***
T04169	R09764	0.98	***
T04169	R09765	0.98	***
T04169	R09766	0.98	***
T04169	R09767	0.98	***
T04169	R09768	0.98	***
T04169	R09769	0.98	***
T04169	R09770	0.98	***
T04169	R09771	0.98	***
T04169	R09772	0.98	***
T04169	R09773	0.98	***
T04169	R09774	0.98	***
T04169	R09775	0.98	***
T04169	R09776	0.98	***
T04169	R09777	0.98	***
T04169	R09778	0.98	***
T04169	R09779	0.98	***
T04169	R09780	0.98	***
T04169	R09781	0.98	***
T04169	R09782	0.98	***
T04169	R09783	0.98	***
T04169	R09784	0.98	***
T04169	R09785	0.98	***
T04169	R09786	0.98	***
T04169	R09787	0.98	***
T04169	R09788	0.98	***
T04169	R09789	0.98	***
T04169	R09790	0.98	***
T04169	R09791	0.98	***
T04169	R09792	0.98	***
T04169	R09793	0.98	***
T04169	R09746	0.98	***
T04207	R63511	0.98	***
T04255	R10331	0.98	***
T04255	R10332	0.98	***
T04255	R10333	0.98	***
T04255	R10334	0.98	***
T04255	R10335	0.98	***
T04255	R10336	0.98	***
T04255	R10337	0.98	***
T04255	R10338	0.98	***
T04255	R10339	0.98	***
T04255	R10340	0.98	***
T04255	R10341	0.98	***
T04255	R10342	0.98	***
T04255	R10343	0.98	***
T04255	R10344	0.98	***
T04255	R10345	0.98	***
T04255	R10346	0.98	***
T04255	R10347	0.98	***
T04255	R10348	0.98	***
T04255	R10349	0.98	***
T04280	R14643	0.98	***
T04280	R66075	0.98	***
T04280	R14644	0.98	***
T04280	R67407	0.98	***
T04280	R62197	0.98	***
T04280	R62198	0.98	***
T04280	R14642	0.98	***
T04280	R14645	0.98	***
T04292	R10004	0.98	***
T04292	R10101	0.98	***
T04292	R25992	0.98	***
T04292	R26001	0.98	***
T04292	R38826	0.98	***
T04292	R38828	0.98	***
T04292	R38829	0.98	***
T04292	R38830	0.98	***
T04292	R38831	0.98	***
T04292	R04874	0.98	***
T04292	R32454	0.98	***
T04292	R62063	0.98	***
T04292	R67615	0.98	***
T04292	R64275	0.98	***
T04292	R64276	0.98	***
T04292	R64277	0.98	***
T04292	R64278	0.98	***
T04292	R24229	0.98	***
T04292	R33954	0.98	***
T04292	R39142	0.98	***
T04292	R23966	0.98	***
T04292	R24272	0.98	***
T04292	R68470	0.98	***
T04292	R66363	0.98	***
T04292	R09952	0.98	***
T04292	R36817	0.98	***
T04292	R40912	0.98	***
T04292	R26795	0.98	***
T04292	R09937	0.98	***
T04292	R39147	0.98	***
T04292	R39152	0.98	***
T04292	R29688	0.98	***
T04292	R64236	0.98	***
T04292	R57121	0.98	***
T04292	R62271	0.98	***
T04292	R32033	0.98	***
T04292	R29441	0.98	***
T04292	R23083	0.98	***
T04292	R09967	0.98	***
T04292	R10078	0.98	***
T04292	R10079	0.98	***
T04292	R32452	0.98	***
T04292	R23469	0.98	***
T04292	R21773	0.98	***
T04292	R23189	0.98	***
T04292	R25990	0.98	***
T04292	R10061	0.98	***
T04292	R09916	0.98	***
T04292	R10093	0.98	***
T04292	R13039	0.98	***
T04292	R13040	0.98	***
T04292	R13041	0.98	***
T04292	R10069	0.98	***
T04292	R10070	0.98	***
T04292	R10099	0.98	***
T04323	R15869	0.98	***
T04323	R32430	0.98	***
T04323	R27151	0.98	***
T04323	R15769	0.98	***
T04323	R15799	0.98	***
T04323	R15864	0.98	***
T04323	R15862	0.98	***
T04323	R37575	0.98	***
T04323	R37574	0.98	***
T04336	R14700	0.98	***
T04337	R11092	0.98	***
T04337	R11093	0.98	***
T04337	R11094	0.98	***
T04337	R11095	0.98	***
T04337	R11096	0.98	***
T04337	R11097	0.98	***
T04337	R11098	0.98	***
T04337	R11099	0.98	***
T04337	R11100	0.98	***
T04337	R11101	0.98	***
T04337	R11102	0.98	***
T04337	R11103	0.98	***
T04337	R11104	0.98	***
T04337	R11105	0.98	***
T04337	R11106	0.98	***
T04337	R11107	0.98	***
T04337	R11108	0.98	***
T04337	R11109	0.98	***
T04337	R11110	0.98	***
T04337	R11111	0.98	***
T04337	R11112	0.98	***
T04337	R11113	0.98	***
T04337	R11114	0.98	***
T04337	R64707	0.98	***
T04337	R16587	0.98	***
T04337	R16588	0.98	***
T04337	R18138	0.98	***
T04345	R15821	0.98	***
T04345	R15822	0.98	***
T04345	R15823	0.98	***
T04345	R15824	0.98	***
T04345	R15825	0.98	***
T04345	R15826	0.98	***
T04345	R15835	0.98	***
T04345	R15836	0.98	***
T04345	R15769	0.98	***
T04345	R15837	0.98	***
T04345	R15827	0.98	***
T04345	R15830	0.98	***
T04345	R15969	0.98	***
T04362	R59926	0.98	***
T04362	R58508	0.98	***
T04362	R04228	0.98	***
T04362	R04225	0.98	***
T04362	R04226	0.98	***
T04362	R04227	0.98	***
T04400	R09929	0.98	***
T04401	R09929	0.98	***
T04450	R20637	0.98	***
T04453	R37612	0.98	***
T04463	R25027	0.98	***
T04463	R56958	0.98	***
T04463	R56959	0.98	***
T04463	R56960	0.98	***
T04546	R34978	0.98	***
T04546	R31175	0.98	***
T04610	R10082	0.98	***
T04610	R10083	0.98	***
T04610	R10084	0.98	***
T04610	R10085	0.98	***
T04610	R62795	0.98	***
T04610	R09957	0.98	***
T04617	R14201	0.98	***
T04632	R18539	0.98	***
T04632	R18813	0.98	***
T04651	R14257	0.98	***
T04651	R01581	0.98	***
T04651	R14226	0.98	***
T04651	R14291	0.98	***
T04651	R14203	0.98	***
T04651	R35118	0.98	***
T04651	R14194	0.98	***
T04651	R14292	0.98	***
T04651	R14228	0.98	***
T04651	R14197	0.98	***
T04651	R10107	0.98	***
T04651	R10108	0.98	***
T04674	R10367	0.98	***
T04674	R10368	0.98	***
T04674	R10369	0.98	***
T04674	R10370	0.98	***
T04674	R10371	0.98	***
T04674	R10372	0.98	***
T04674	R10373	0.98	***
T04674	R10374	0.98	***
T04674	R10375	0.98	***
T04674	R10376	0.98	***
T04674	R10377	0.98	***
T04674	R10378	0.98	***
T04674	R10379	0.98	***
T04674	R10380	0.98	***
T04674	R10381	0.98	***
T04674	R10382	0.98	***
T04674	R10383	0.98	***
T04674	R10384	0.98	***
T04674	R10385	0.98	***
T04674	R10386	0.98	***
T04674	R10387	0.98	***
T04674	R10388	0.98	***
T04674	R10389	0.98	***
T04674	R10390	0.98	***
T04674	R10391	0.98	***
T04674	R10392	0.98	***
T04674	R10393	0.98	***
T04674	R10394	0.98	***
T04674	R14432	0.98	***
T04674	R14454	0.98	***
T04674	R14802	0.98	***
T04674	R34309	0.98	***
T04675	R10396	0.98	***
T04675	R10397	0.98	***
T04675	R10398	0.98	***
T04675	R10399	0.98	***
T04675	R10400	0.98	***
T04675	R10401	0.98	***
T04675	R10402	0.98	***
T04675	R10403	0.98	***
T04675	R10404	0.98	***
T04675	R10405	0.98	***
T04675	R10406	0.98	***
T04675	R10407	0.98	***
T04675	R10408	0.98	***
T04675	R10409	0.98	***
T04675	R10410	0.98	***
T04683	R14236	0.98	***
T04683	R15672	0.98	***
T04683	R15838	0.98	***
T04683	R14310	0.98	***
T04683	R14311	0.98	***
T04683	R26866	0.98	***
T04683	R30839	0.98	***
T04683	R16934	0.98	***
T04683	R24153	0.98	***
T04683	R19772	0.98	***
T04683	R13215	0.98	***
T04683	R65325	0.98	***
T04683	R65326	0.98	***
T04683	R65330	0.98	***
T04683	R65332	0.98	***
T04683	R16930	0.98	***
T04683	R13241	0.98	***
T04683	R62842	0.98	***
T04684	R14236	0.98	***
T04684	R15672	0.98	***
T04684	R15838	0.98	***
T04684	R12435	0.98	***
T04684	R12436	0.98	***
T04684	R14310	0.98	***
T04684	R14311	0.98	***
T04684	R26866	0.98	***
T04684	R30840	0.98	***
T04684	R40251	0.98	***
T04684	R24153	0.98	***
T04684	R11154	0.98	***
T04684	R34976	0.98	***
T04684	R13215	0.98	***
T04684	R65325	0.98	***
T04684	R16930	0.98	***
T04684	R13241	0.98	***
T04686	R62682	0.98	***
T04728	R10919	0.98	***
T04728	R10920	0.98	***
T04728	R10921	0.98	***
T04728	R10922	0.98	***
T04728	R10923	0.98	***
T04728	R10924	0.98	***
T04728	R10925	0.98	***
T04728	R10926	0.98	***
T04728	R10927	0.98	***
T04728	R10928	0.98	***
T04734	R10982	0.98	***
T04734	R10983	0.98	***
T04734	R10984	0.98	***
T04734	R10985	0.98	***
T04734	R10986	0.98	***
T04734	R10987	0.98	***
T04734	R10988	0.98	***
T04734	R10989	0.98	***
T04734	R10990	0.98	***
T04734	R10991	0.98	***
T04734	R10992	0.98	***
T04734	R10993	0.98	***
T04734	R10994	0.98	***
T04734	R10995	0.98	***
T04734	R10996	0.98	***
T04734	R10997	0.98	***
T04734	R10998	0.98	***
T04734	R10999	0.98	***
T04734	R11000	0.98	***
T04734	R11001	0.98	***
T04734	R11002	0.98	***
T04734	R11003	0.98	***
T04734	R11004	0.98	***
T04734	R11005	0.98	***
T04734	R11006	0.98	***
T04734	R11007	0.98	***
T04742	R26566	0.98	***
T04742	R40681	0.98	***
T04759	R11779	0.98	***
T04759	R11882	0.98	***
T04759	R11883	0.98	***
T04759	R11884	0.98	***
T04759	R11885	0.98	***
T04759	R11886	0.98	***
T04759	R11887	0.98	***
T04759	R11888	0.98	***
T04759	R11889	0.98	***
T04759	R11890	0.98	***
T04759	R11891	0.98	***
T04759	R11892	0.98	***
T04759	R11893	0.98	***
T04759	R11894	0.98	***
T04759	R11895	0.98	***
T04759	R11896	0.98	***
T04759	R11897	0.98	***
T04759	R11898	0.98	***
T04759	R11899	0.98	***
T04759	R11900	0.98	***
T04759	R11901	0.98	***
T04759	R11902	0.98	***
T04759	R11903	0.98	***
T04759	R11904	0.98	***
T04759	R11905	0.98	***
T04759	R11906	0.98	***
T04759	R11907	0.98	***
T04759	R11908	0.98	***
T04759	R11909	0.98	***
T04759	R11910	0.98	***
T04759	R11911	0.98	***
T04759	R11912	0.98	***
T04759	R11913	0.98	***
T04759	R11914	0.98	***
T04759	R11915	0.98	***
T04759	R11916	0.98	***
T04759	R11917	0.98	***
T04759	R11918	0.98	***
T04759	R11919	0.98	***
T04759	R11920	0.98	***
T04759	R11921	0.98	***
T04759	R11922	0.98	***
T04759	R11923	0.98	***
T04759	R11924	0.98	***
T04759	R11925	0.98	***
T04759	R11926	0.98	***
T04759	R11927	0.98	***
T04759	R11928	0.98	***
T04759	R11929	0.98	***
T04759	R11930	0.98	***
T04759	R11931	0.98	***
T04759	R11932	0.98	***
T04759	R23951	0.98	***
T04759	R24465	0.98	***
T04759	R25860	0.98	***
T04759	R12445	0.98	***
T04759	R24227	0.98	***
T04759	R25857	0.98	***
T04759	R29898	0.98	***
T04759	R25804	0.98	***
T04759	R63166	0.98	***
T04759	R25555	0.98	***
T04759	R14657	0.98	***
T04759	R56104	0.98	***
T04759	R15672	0.98	***
T04759	R25884	0.98	***
T04759	R12428	0.98	***
T04759	R68084	0.98	***
T04759	R13378	0.98	***
T04759	R66524	0.98	***
T04759	R67509	0.98	***
T04759	R34306	0.98	***
T04759	R24094	0.98	***
T04759	R11115	0.98	***
T04759	R24676	0.98	***
T04759	R25885	0.98	***
T04759	R28469	0.98	***
T04759	R29784	0.98	***
T04759	R08485	0.98	***
T04759	R38394	0.98	***
T04759	R60874	0.98	***
T04759	R60891	0.98	***
T04759	R60898	0.98	***
T04759	R60899	0.98	***
T04759	R34310	0.98	***
T04759	R22348	0.98	***
T04759	R25957	0.98	***
T04759	R26921	0.98	***
